,date,time,code_call,code_put,price_call,price_put,delta_call,delta_put,d2e,k_x,timeleft,gamma,gamma_percentage,vega,theta,rho,iv,k0,r,code_x,cp,k_y,contract_unit,expire_date,atm,expiration_state,code_y,exchange,close
0,2020-01-02,0 days 14:55:00,10001909.SH,10001918.SH,0.411,0.0043,0.9347,-0.0653,53.0,2.706,5.0,0.4321,0.0133,0.0018,-0.0008,0.0053,0.2053,-0.1301,0.0451,10001909.SH,C,2.706,10163.0,2020-03-25,0.0,3.0,510050.SH,,3.082
1,2020-01-02,0 days 14:55:00,10001910.SH,10001919.SH,0.3628,0.0066,0.92,-0.08,53.0,2.755,5.0,0.5404,0.0167,0.0021,-0.0008,0.0054,0.1919,-0.1122,0.0429,10001910.SH,C,2.755,10163.0,2020-03-25,0.0,3.0,510050.SH,,3.082
2,2020-01-02,0 days 14:55:00,10001911.SH,10001920.SH,0.3189,0.0096,0.8982,-0.1018,53.0,2.804,5.0,0.6785,0.0209,0.0025,-0.0009,0.0053,0.1828,-0.0945,0.046,10001911.SH,C,2.804,10163.0,2020-03-25,0.0,3.0,510050.SH,,3.082
3,2020-01-02,0 days 14:55:00,10001912.SH,10001921.SH,0.2754,0.0145,0.8663,-0.1337,53.0,2.853,5.0,0.8558,0.0264,0.0031,-0.001,0.0052,0.1758,-0.0772,0.0469,10001912.SH,C,2.853,10163.0,2020-03-25,0.0,3.0,510050.SH,,3.082
4,2020-01-02,0 days 14:55:00,10001913.SH,10001922.SH,0.2335,0.0218,0.822,-0.178,53.0,2.903,5.0,1.0633,0.0328,0.0037,-0.0011,0.005,0.1709,-0.0598,0.048,10001913.SH,C,2.903,10163.0,2020-03-25,0.0,3.0,510050.SH,,3.082
5,2020-01-02,0 days 14:55:00,10001914.SH,10001923.SH,0.1945,0.0319,0.7661,-0.2339,53.0,2.952,5.0,1.2783,0.0394,0.0044,-0.0011,0.0047,0.1672,-0.0431,0.0479,10001914.SH,C,2.952,10163.0,2020-03-25,0.0,3.0,510050.SH,,3.082
6,2020-01-02,0 days 14:55:00,10001915.SH,10001924.SH,0.1282,0.0639,0.6212,-0.3788,53.0,3.05,5.0,1.6111,0.0497,0.0055,-0.0012,0.0039,0.1647,-0.0104,0.0474,10001915.SH,C,3.05,10163.0,2020-03-25,0.0,3.0,510050.SH,,3.082
7,2020-01-02,0 days 14:55:00,10001916.SH,10001925.SH,0.0796,0.1145,0.4576,-0.5424,53.0,3.149,5.0,1.6555,0.051,0.0057,-0.0012,0.0029,0.1671,0.0215,0.0471,10001916.SH,C,3.149,10163.0,2020-03-25,0.0,3.0,510050.SH,,3.082
8,2020-01-02,0 days 14:55:00,10001917.SH,10001926.SH,0.0483,0.1803,0.3157,-0.6843,53.0,3.247,5.0,1.4397,0.0444,0.0051,-0.001,0.002,0.1723,0.0522,0.0485,10001917.SH,C,3.247,10163.0,2020-03-25,0.0,3.0,510050.SH,,3.082
9,2020-01-02,0 days 14:55:00,10001927.SH,10001928.SH,0.0296,0.258,0.2106,-0.7894,53.0,3.345,5.0,1.1181,0.0345,0.0041,-0.0008,0.0013,0.1801,0.0819,0.0508,10001927.SH,C,3.345,10163.0,2020-03-25,0.0,3.0,510050.SH,,3.082
10,2020-01-02,0 days 14:55:00,10001929.SH,10001930.SH,0.4565,0.0031,0.9449,-0.0551,53.0,2.657,5.0,0.355,0.0109,0.0016,-0.0007,0.0053,0.2188,-0.1484,0.0417,10001929.SH,C,2.657,10163.0,2020-03-25,0.0,3.0,510050.SH,,3.082
11,2020-01-02,0 days 14:55:00,10001933.SH,10001934.SH,0.5053,0.0027,0.9496,-0.0504,53.0,2.607,5.0,0.303,0.0093,0.0015,-0.0007,0.0052,0.2388,-0.1674,0.0405,10001933.SH,C,2.607,10163.0,2020-03-25,0.0,3.0,510050.SH,,3.082
12,2020-01-02,0 days 14:55:00,10001937.SH,10001938.SH,0.5548,0.0017,0.9545,-0.0455,53.0,2.558,5.0,0.2586,0.008,0.0014,-0.0007,0.0052,0.2579,-0.1864,0.0427,10001937.SH,C,2.558,10163.0,2020-03-25,0.0,3.0,510050.SH,,3.082
13,2020-01-02,0 days 14:55:00,10001987.SH,10001988.SH,0.0181,0.3454,0.137,-0.863,53.0,3.444,5.0,0.8095,0.0249,0.0031,-0.0006,0.0009,0.189,0.1111,0.051,10001987.SH,C,3.444,10163.0,2020-03-25,0.0,3.0,510050.SH,,3.082
14,2020-01-02,0 days 14:55:00,10001989.SH,10001998.SH,0.4103,0.0189,0.8673,-0.1327,114.0,2.755,5.0,0.5515,0.017,0.0045,-0.0008,0.0105,0.1851,-0.1122,0.044,10001989.SH,C,2.755,10163.0,2020-06-24,0.0,4.0,510050.SH,,3.082
15,2020-01-02,0 days 14:55:00,10001990.SH,10001999.SH,0.3692,0.0256,0.8415,-0.1585,114.0,2.804,5.0,0.6387,0.0197,0.0051,-0.0008,0.0104,0.1801,-0.0945,0.0448,10001990.SH,C,2.804,10163.0,2020-06-24,0.0,4.0,510050.SH,,3.082
16,2020-01-02,0 days 14:55:00,10001991.SH,10002000.SH,0.3312,0.0352,0.8081,-0.1919,114.0,2.853,5.0,0.7286,0.0225,0.0057,-0.0009,0.01,0.1782,-0.0772,0.0458,10001991.SH,C,2.853,10163.0,2020-06-24,0.0,4.0,510050.SH,,3.082
17,2020-01-02,0 days 14:55:00,10001992.SH,10002001.SH,0.2932,0.0468,0.7695,-0.2305,114.0,2.903,5.0,0.822,0.0253,0.0064,-0.0009,0.0097,0.1759,-0.0598,0.046,10001992.SH,C,2.903,10163.0,2020-06-24,0.0,4.0,510050.SH,,3.082
18,2020-01-02,0 days 14:55:00,10001993.SH,10002002.SH,0.2587,0.0605,0.7271,-0.2729,114.0,2.952,5.0,0.9069,0.028,0.007,-0.0009,0.0092,0.1743,-0.0431,0.0466,10001993.SH,C,2.952,10163.0,2020-06-24,0.0,4.0,510050.SH,,3.082
19,2020-01-02,0 days 14:55:00,10001994.SH,10002003.SH,0.1976,0.0965,0.6304,-0.3696,114.0,3.05,5.0,1.0348,0.0319,0.0079,-0.0009,0.0081,0.1735,-0.0104,0.0472,10001994.SH,C,3.05,10163.0,2020-06-24,0.0,4.0,510050.SH,,3.082
20,2020-01-02,0 days 14:55:00,10001995.SH,10002004.SH,0.1468,0.1432,0.5267,-0.4733,114.0,3.149,5.0,1.0913,0.0336,0.0084,-0.0009,0.0069,0.1735,0.0215,0.0482,10001995.SH,C,3.149,10163.0,2020-06-24,0.0,4.0,510050.SH,,3.082
21,2020-01-02,0 days 14:55:00,10001996.SH,10002005.SH,0.1072,0.1998,0.4264,-0.5736,114.0,3.247,5.0,1.0698,0.033,0.0082,-0.0009,0.0056,0.1743,0.0522,0.0494,10001996.SH,C,3.247,10163.0,2020-06-24,0.0,4.0,510050.SH,,3.082
22,2020-01-02,0 days 14:55:00,10001997.SH,10002006.SH,0.077,0.2682,0.3341,-0.6659,114.0,3.345,5.0,0.9778,0.0301,0.0077,-0.0008,0.0044,0.177,0.0819,0.049,10001997.SH,C,3.345,10163.0,2020-06-24,0.0,4.0,510050.SH,,3.082
23,2020-01-02,0 days 14:55:00,10002007.SH,10002008.SH,0.0544,0.3434,0.2553,-0.7447,114.0,3.444,5.0,0.8533,0.0263,0.0068,-0.0007,0.0034,0.1791,0.1111,0.0499,10002007.SH,C,3.444,10163.0,2020-06-24,0.0,4.0,510050.SH,,3.082
24,2020-01-02,0 days 14:55:00,10002009.SH,10002010.SH,0.4542,0.0136,0.8879,-0.1121,114.0,2.706,5.0,0.4721,0.0145,0.004,-0.0007,0.0106,0.192,-0.1301,0.0441,10002009.SH,C,2.706,10163.0,2020-06-24,0.0,4.0,510050.SH,,3.082
25,2020-01-02,0 days 14:55:00,10002011.SH,10002020.SH,0.3339,0.0009,0.9762,-0.0238,14.0,2.755,5.0,0.3116,0.0096,0.0004,-0.0007,0.0015,0.2444,-0.1122,0.0333,10002011.SH,C,2.755,10163.0,2020-01-22,0.0,1.0,510050.SH,,3.082
26,2020-01-02,0 days 14:55:00,10002012.SH,10002021.SH,0.2859,0.0008,0.9738,-0.0262,14.0,2.804,5.0,0.3901,0.012,0.0004,-0.0008,0.0016,0.2113,-0.0945,0.0394,10002012.SH,C,2.804,10163.0,2020-01-22,0.0,1.0,510050.SH,,3.082
27,2020-01-02,0 days 14:55:00,10002013.SH,10002022.SH,0.2387,0.0014,0.9619,-0.0381,14.0,2.853,5.0,0.5892,0.0182,0.0006,-0.0009,0.0016,0.1907,-0.0772,0.0461,10002013.SH,C,2.853,10163.0,2020-01-22,0.0,1.0,510050.SH,,3.082
28,2020-01-02,0 days 14:55:00,10002014.SH,10002023.SH,0.1886,0.0025,0.9427,-0.0573,14.0,2.903,5.0,0.9357,0.0288,0.0008,-0.0009,0.0016,0.1666,-0.0598,0.0394,10002014.SH,C,2.903,10163.0,2020-01-22,0.0,1.0,510050.SH,,3.082
29,2020-01-02,0 days 14:55:00,10002015.SH,10002024.SH,0.1421,0.005,0.8986,-0.1014,14.0,2.952,5.0,1.5926,0.0491,0.0013,-0.0011,0.0015,0.151,-0.0431,0.0394,10002015.SH,C,2.952,10163.0,2020-01-22,0.0,1.0,510050.SH,,3.082
30,2020-01-02,0 days 14:55:00,10002016.SH,10002025.SH,0.0643,0.0247,0.653,-0.347,14.0,3.05,5.0,3.5089,0.1081,0.0027,-0.0017,0.0011,0.1427,-0.0104,0.0422,10002016.SH,C,3.05,10163.0,2020-01-22,0.0,1.0,510050.SH,,3.082
31,2020-01-02,0 days 14:55:00,10002017.SH,10002026.SH,0.0202,0.0797,0.2994,-0.7006,14.0,3.149,5.0,3.2052,0.0988,0.0026,-0.0015,0.0005,0.147,0.0215,0.0417,10002017.SH,C,3.149,10163.0,2020-01-22,0.0,1.0,510050.SH,,3.082
32,2020-01-02,0 days 14:55:00,10002018.SH,10002027.SH,0.0049,0.1625,0.0931,-0.9069,14.0,3.247,5.0,1.4542,0.0448,0.0012,-0.0007,0.0002,0.1553,0.0522,0.0411,10002018.SH,C,3.247,10163.0,2020-01-22,0.0,1.0,510050.SH,,3.082
33,2020-01-02,0 days 14:55:00,10002019.SH,10002028.SH,0.0015,0.2589,0.0302,-0.9698,14.0,3.345,5.0,0.5258,0.0162,0.0005,-0.0003,0.0001,0.1763,0.0819,0.0311,10002019.SH,C,3.345,10163.0,2020-01-22,0.0,1.0,510050.SH,,3.082
34,2020-01-02,0 days 14:55:00,10002047.SH,10002056.SH,0.391,0.0006,0.9776,-0.0224,14.0,2.7,5.0,0.2524,0.0078,0.0004,-0.0009,0.0015,0.286,-0.1323,0.0467,10002047.SH,C,2.7,10000.0,2020-01-22,0.0,1.0,510050.SH,,3.082
35,2020-01-02,0 days 14:55:00,10002048.SH,10002057.SH,0.3387,0.0007,0.9785,-0.0215,14.0,2.75,5.0,0.2878,0.0089,0.0004,-0.0007,0.0015,0.2429,-0.114,0.0333,10002048.SH,C,2.75,10000.0,2020-01-22,0.0,1.0,510050.SH,,3.082
36,2020-01-02,0 days 14:55:00,10002049.SH,10002058.SH,0.2902,0.0008,0.9736,-0.0264,14.0,2.8,5.0,0.3859,0.0119,0.0005,-0.0008,0.0016,0.2151,-0.096,0.0411,10002049.SH,C,2.8,10000.0,2020-01-22,0.0,1.0,510050.SH,,3.082
37,2020-01-02,0 days 14:55:00,10002050.SH,10002059.SH,0.241,0.0013,0.9641,-0.0359,14.0,2.85,5.0,0.5642,0.0174,0.0006,-0.0009,0.0016,0.1898,-0.0783,0.0428,10002050.SH,C,2.85,10000.0,2020-01-22,0.0,1.0,510050.SH,,3.082
38,2020-01-02,0 days 14:55:00,10002051.SH,10002060.SH,0.1926,0.0025,0.9424,-0.0576,14.0,2.9,5.0,0.9173,0.0283,0.0009,-0.001,0.0016,0.1705,-0.0609,0.045,10002051.SH,C,2.9,10000.0,2020-01-22,0.0,1.0,510050.SH,,3.082
39,2020-01-02,0 days 14:55:00,10002052.SH,10002061.SH,0.1442,0.005,0.8994,-0.1006,14.0,2.95,5.0,1.5644,0.0482,0.0013,-0.0011,0.0015,0.1528,-0.0438,0.04,10002052.SH,C,2.95,10000.0,2020-01-22,0.0,1.0,510050.SH,,3.082
40,2020-01-02,0 days 14:55:00,10002053.SH,10002062.SH,0.1005,0.0112,0.8069,-0.1931,14.0,3.0,5.0,2.5786,0.0795,0.002,-0.0014,0.0014,0.1442,-0.027,0.0405,10002053.SH,C,3.0,10000.0,2020-01-22,0.0,1.0,510050.SH,,3.082
